Eric,Eric,Eric,埃里克,एरिक
plate,plaque,lámina,盘子,थाली
Commands,Commandes,Comandos,命令,आदेश
observe,observer,observar,观察,निरीक्षण
Snow,Neige,Nieve,雪,बर्फ
preview,prévisualisation,avance,预览,पूर्व दर्शन
tip,conseil,consejo,提示,बख्शीश
nature,nature,naturaleza,自然,प्रकृति
standing,debout,de pie,常设,खरा
flog,fouetter,azotar,鞭打,चाबुक से मारना
chart,graphique,cuadro,图表,चार्ट
domain,domaine,dominio,领域,कार्यक्षेत्र
colors,couleurs,bandera,颜色,रंग
berry,baie,baya,浆果,बेर
gateway,porte,puerta,网关,द्वार
143,143,143,143,143
Guatemala,Guatemala,Guatemala,危地马拉,ग्वाटेमाला
super,super,súper,极好的,बहुत अच्छा
permission,autorisation,permiso,允许,अनुमति
hang,accrocher,colgar,悬挂,लटकाना
1200,1200,1200,1200,1200
row,rangée,fila,排,पंक्ति
Design,Conception,Diseño,设计,डिज़ाइन
Bernard,Bernard,Bernardo,伯纳德,बर्नार्ड
mom,maman,mamá,妈妈,माँ
Did,A fait,Hizo,做过,किया
Figure,Chiffre,Cifra,数字,आकृति
rag,chiffon,trapo,抹布,खपरैल
phone,téléphone,teléfono,电话,फ़ोन
coordinate,coordonner,coordinar,协调,कोआर्डिनेट
diction,diction,dicción,词典,शब्द-चयन
damn,condamner,maldición,该死,लानत है
Metro,Métro,Metro,地铁,मेट्रो
Strength,Force,Fortaleza,力量,ताकत
Walk,Marcher,Caminar,走,टहलना
Escape,S'échapper,Escapar,逃脱,पलायन
out,dehors,afuera,出去,बाहर
otherwise,sinon,de lo contrario,否则,अन्यथा
images,images,imágenes,图像,इमेजिस
lent,Carême,prestado,大斋节,रोज़ा
Weather,Météo,Clima,天气,मौसम
bye,au revoir,adiós,再见,अलविदा
ski,ski,esquí,滑雪,स्की
miss,manquer,extrañar,错过,याद
popular,populaire,popular,受欢迎的,लोकप्रिय
adores,adorer,itreen,崇拜,प्यार करते हैं
hut,cabane,cabaña,小屋,झोपड़ी
Above,Au-dessus de,Arriba,多于,ऊपर
355,355,355,355,355
Berlin,Berlin,Berlina,柏林,बर्लिन
week,semaine,semana,星期,सप्ताह
introduction,introduction,introducción,介绍,परिचय
Monday,Lundi,Lunes,周一,सोमवार
register,registre,registro,登记,पंजीकरण करवाना
lana,lana,lana,拉娜,लाना
wood,bois,madera,木头,लकड़ी
stem,tige,provenir,干,तना
pond,étang,estanque,池塘,तालाब
142,142,142,142,142
aspect,aspect,aspecto,方面,पहलू
Rules,Règles,Normas,规则,नियम
qualities,qualités,cualidades,品质,गुण
School,École,Escuela,学校,विद्यालय
having,ayant,teniendo,有,होना
Properties,Propriétés,Propiedades,特性,गुण
threshold,seuil,límite,临界点,सीमा
wart,verrue,verruga,疣,मस्सा
avail,profiter,aprovechar,可用,लाभ लेना
Transfer,Transfert,Transferir,转移,स्थानांतरण
john,John,John,约翰,जॉन
burst,éclatement,explosión,爆裂,फोड़ना
urge,exhorter,urgir,敦促,प्रबल इच्छा
methods,méthodes,métodos,方法,तरीकों
Iron,Fer,Hierro,铁,लोहा
cache,cache,cache,缓存,कैश
Gal,Fille,Galón,gal,लड़की
606,606,606,606,606
Pierre,Percer,Pierre,皮埃尔,पियरे
mana,mana,maná,法力,मन
Head,Tête,Cabeza,头,सिर
formation,formation,formación,形成,गठन
cases,cas,casos,案例,मामलों
Budget,Budget,Presupuesto,预算,बजट
Madame,Madame,Señora,夫人,मैडम
Alberto,Alberto,Alberto,阿尔贝托,अल्बर्टो
117,117,117,117,117
keys,clés,llaves,钥匙,चाबी
ague,fièvre,fiebre intermitente,疟疾,जूड़ी
visit,visite,visita,访问,मिलने जाना
copy,copie,Copiar,复制,कॉपी
Sheets,Feuilles,Hojas,床单,शीट्स
260,260,260,260,260
dimension,dimension,dimensión,方面,आयाम
Plot,Parcelle,Trama,阴谋,कथानक
Mig,Mig,Migas,mig,मिग
eras,époques,época,时代,युग
metal,métal,metal,金属,धातु
disc,disque,desct,光盘,डिस्क
series,série,serie,系列,शृंखला
fragment,fragment,fragmento,分段,टुकड़ा
abide,se conformer,cumplir,遵守,पालन ​​करना
Better,Mieux,Mejor,更好的,बेहतर
Side,Côté,Lado,边,ओर
Pain,Douleur,Dolor,疼痛,दर्द
ass,cul,culo,屁股,गधा
Thanks,Merci,Gracias,谢谢,धन्यवाद
City,Ville,Ciudad,城市,शहर
raft,radeau,balsa,筏,बेड़ा
Completion,Achèvement,Terminación,完成,समापन
three,trois,tres,三,तीन
into,dans,en,进入,में
here,ici,aquí,这里,यहाँ
body,corps,cuerpo,身体,शरीर
Bas,Bas,Basura,bas,बस
Charles,Charles,Charles,查尔斯,चार्ल्स
shots,coups de feu,disparos,镜头,फुहार
charge,charge,cargar,收费,शुल्क
Information,Information,Información,信息,जानकारी
Martin,Martin,Martín,马丁,मार्टिन
section,section,sección,部分,अनुभाग
tag,étiqueter,etiqueta,标签,टैग
871,871,871,871,871
flag,drapeau,bandera,旗帜,झंडा
integer,entier,entero,整数,पूर्णांक
slant,incliner,inclinación,倾斜,तिरछा
Youth,Jeunesse,Juventud,青年,युवा
Days,Jours,Días,天,दिन
Sun,Soleil,Sol,太阳,सूरज
counters,comptoirs,mostrador,柜台,काउंटर
BBB,BBB,Bbb,BBB,बीबीबी
271,271,271,271,271
fad,mode,moda,时尚,सनक
width,largeur,ancho,宽度,चौड़ाई
home,maison,hogar,家,घर
1945,1945,1945,1945年,1945
bay,baie,bahía,湾,खाड़ी
design,conception,diseño,设计,डिज़ाइन
385,385,385,385,385
Run,Courir,Correr,跑步,दौड़ना
bath,bain,baño,洗澡,नहाना
Starting,Départ,A partir de,开始,आरंभ
ants,fourmis,hormigas,蚂蚁,चींटियों
clam,palourde,almeja,蛤,क्लैम
hair,cheveux,cabello,头发,बाल
letters,courrier,letras,信件,पत्र
warning,avertissement,advertencia,警告,चेतावनी
283,283,283,283,283
Doug,Doug,Doug,道格,डौग
Reb,Reb,Rebaño,reb,पुनर्निर्माण करना
loading,chargement,cargando,加载中,लोड करना
swing,balançoire,balancearse,摇摆,झूला
ther,il,al mismo,ther,थेर
492,492,492,492,492
Span,Portée,Durar,跨度,अवधि
Would,Serait,Quería,会,चाहेंगे
icing,glaçage,formación de hielo,结冰,इशारा
fortunately,heureusement,afortunadamente,幸运的是,सौभाग्य से
heel,talon,tacón,脚跟,एड़ी
learning,apprentissage,aprendiendo,学习,सीखना
John,John,John,约翰,जॉन
1889,1889,1889,1889年,1889
invent,inventer,inventar,发明,आविष्कार करना
Before,Avant,Antes,前,पहले
675,675,675,675,675
327,327,327,327,327
physics,physique,física,物理,भौतिक विज्ञान
view,voir,vista,看法,देखना
Images,Images,Imágenes,图像,इमेजिस
1300,1300,1300,1300,1300
load,charger,carga,加载,भार
Back,Dos,Atrás,后退,पीछे
frames,cadres,marcos,帧,फ़्रेम
Ham,Jambon,Jamón,火腿,जांघ
Story,Histoire,Historia,故事,कहानी
closure,fermeture,cierre,关闭,बंद
star,étoile,estrella,星星,तारा
Make,Faire,Hacer,制作,बनाना
Stock,Action,Existencias,库存,भंडार
location,emplacement,ubicación,地点,जगह
oven,four,horno,烤箱,ओवन
vista,vue,vista,远景,विस्टा
Reply,Répondre,Responder,回复,जवाब
Mom,Maman,Mamá,妈妈,माँ
post,poste,correo,邮政,डाक
273,273,273,273,273
Luis,Luis,Luis,路易斯,लुइस
Oliver,Oliver,Oliver,奥利弗,ओलिवर
merge,fusionner,unir,合并,मर्ज
1965,1965,1965,1965年,1965
Shape,Forme,Forma,形状,आकार
566,566,566,566,566
1904,1904,1904,1904年,1904
List,Liste,Lista,列表,सूची
Besides,En plus,Además,除了,अलावा
you're,tu es,estás,你,आप कर रहे हैं
stock,action,existencias,库存,भंडार
rather,plutôt,bastante,相当,की अपेक्षा
Feedback,Retour,Comentario,反馈,प्रतिक्रिया
wing,aile,ala,翼,विंग
Hours,Heures,Horas,小时,घंटे
giving,don,donación,给予,दे रही है
tax,impôt,impuesto,税,कर
643,643,643,643,643
machine,machine,máquina,机器,मशीन
block,bloc,bloquear,堵塞,अवरोध पैदा करना
Gateway,Porte,Puerta,网关,द्वार
LOC,Localiser,Loc,loc,एलओसी
Echo,Écho,Eco,回声,गूंज
Moreover,De plus,Además,而且,इसके अतिरिक्त
Elena,Elena,Elena,埃琳娜,ऐलेना
description,description,descripción,描述,विवरण
Less,Moins,Menos,较少的,कम
thumbnail,vignette,uña del pulgar,缩略图,थंबनेल
running,en cours d'exécution,correr,跑步,दौड़ना
changed,modifié,cambió,改变了,बदले हुए
words,mots,palabras,字,शब्द
going,en allant,yendo,去,जा रहा है
Begin,Commencer,Comenzar,开始,शुरू
partition,partition,dividir,分割,PARTITION
ape,singe,mono,猿,अनुकरण करना
Finally,Enfin,Finalmente,最后,अंत में
Nothing,Rien,Nada,没有什么,कुछ नहीं
Ford,Gué,Vado,福特,पायाब
Average,Moyenne,Promedio,平均的,औसत
Ron,Ron,Ron,罗恩,रॉन
Greater,Plus grand,Mayor que,更大,ग्रेटर
Foundation,Fondation,Base,基础,नींव
every,chaque,cada,每一个,प्रत्येक
Roberto,Roberto,Roberto,罗伯托,रॉबर्टो
able,capable,capaz,有能力的,योग्य
table,tableau,mesa,桌子,मेज़
statistics,statistiques,estadística,统计数据,आंकड़े
5-1,5-1,5-1,5-1,5-1
Stand,Rester,Pararse,站立,खड़ा होना
Lear,Apparition,Estar a fines de agua,李尔,लेअर
omen,présage,presagio,预兆,शकुन
Sky,Ciel,Cielo,天空,आकाश
organ,organe,órgano,器官,अंग
alors,alors,alors,alors,अखिल
comes,vient,llega,来,आता है
storage,stockage,almacenamiento,贮存,भंडारण
input,saisir,aporte,输入,इनपुट
whatever,peu importe,lo que,任何,जो कुछ भी
Taylor,Taylor,Taylor,泰勒,टेलर
Production,Production,Producción,生产,उत्पादन
let's,faisons,vamos,让我们,के जाने
regard,égard,respecto,看待,संबद्ध
Therefore,Donc,Por lo tanto,所以,इसलिए
notification,notification,notificación,通知,अधिसूचना
voice,voix,voz,嗓音,आवाज़
comment,commentaire,comentario,评论,टिप्पणी
Orient,Orient,Orientar,东方,पूरब
Operation,Opération,Operación,手术,संचालन
experiment,expérience,experimento,实验,प्रयोग
3-5,3-5,3-5,3-5,3-5
Region,Région,Región,地区,क्षेत्र
1948,1948,1948,1948年,1948
examples,exemples,ejemplos,例子,उदाहरण
apart,à part,aparte,除外,अलग
more,plus,más,更多的,अधिक
Something,Quelque chose,Algo,某物,कुछ
Tree,Arbre,Árbol,树,पेड़
skill,compétence,habilidad,技能,कौशल
oks,oks,oks,好的,ओक्स
Pipeline,Pipeline,Tubería,管道,पाइपलाइन
Registry,Enregistrement,Registro,注册表,रजिस्ट्री
verb,verbe,verbo,动词,क्रिया
evaluate,évaluer,evaluar,评价,मूल्यांकन करना
1-0,1-0,1-0,1-0,1-0
Han,Han,Han,汉,हान
treat,traiter,tratar,对待,इलाज
Van,Van,Furgoneta,面包车,वैन
closes,fermeture,cierre,关闭,बंद
250,250,250,250,250
Heart,Cœur,Corazón,心,दिल
rates,tarif,tarifa,费率,दर
orbit,orbite,órbita,轨道,गोला
quart,litre,cuarto de galón,夸脱,चौथाई गेलन
ivy,lierre,hiedra,常春藤,आइवी
guide,guide,guía,指导,मार्गदर्शक
pound,livre,libra,磅,पाउंड
Can't,Ne peut pas,No poder,不能,नहीं कर सकता
December,Décembre,Diciembre,十二月,दिसंबर
kernel,noyau,núcleo,核心,कर्नेल
Progress,Progrès,Progreso,进步,प्रगति
Miguel,Miguel,Miguel,米格尔,मिगुएल
web,web,web,网络,वेब
Choose,Choisir,Elegir,选择,चुनना
Page,Page,Página,页,पेज
base,base,base,根据,आधार
Requests,Demandes,Solicitudes,请求,अनुरोध
packet,paquet,paquete,包,पैकेट
currency,devise,divisa,货币,मुद्रा
817,817,817,817,817
service,service,servicio,服务,सेवा
402,402,402,402,402
fraction,fraction,fracción,分数,अंश
Birth,Naissance,Nacimiento,出生,जन्म
27%,27%,27%,27％,27%
yen,yen,yen,日元,येन
Styles,Styles,Estilos,样式,शैलियों
spacing,espacement,espaciado,间距,अंतर
exists,existant,existe,存在,मौजूद है
hob,plaque,quemador,hob,हॉब
Mme,Mme,Mete,妈妈,ममे
1959,1959,1959,1959年,1959
rig,gréement,aparejo,钻机,रिग
Turn,Tourner,Doblar,转动,मोड़
eva,Eva,Eva,伊娃,ईवा
ranch,ranch,rancho,牧场,खेत
lean,maigre,inclinarse,倾斜,दुबला
Notes,Notes,Notas,笔记,नोट
site,site,sitio,地点,साइट
criteria,critères,criterios,标准,मानदंड
Bill,Facture,Factura,账单,बिल
filter,filtre,filtrar,筛选,फ़िल्टर
him,lui,a él,他,उसे
earth,Terre,tierra,地球,धरती
Stuff,Truc,Cosa,东西,सामग्री
Arthur,Arthur,Arturo,亚瑟,आर्थर
Flip,Retourner,Voltear,翻动,पलटना
AAA,Aaa,AAA,AAA,एएए
I'll,Je vais,Enfermo,患病的,बीमार
650,650,650,650,650
lists,listes,liza,列表,सूचियों
inflate,gonfler,inflar,膨胀,फुलाना
thy,tes,tu,你,तेरा
gust,rafale,ráfaga,阵风,झोंका
532,532,532,532,532
Shadow,Ombre,Sombra,阴影,छाया
quarters,quartiers,cuarteles,季度,क्वार्टरों
subscription,abonnement,suscripción,订阅,सदस्यता
atom,atome,átomo,原子,एटम
5000,5000,5000,5000,5000
town,ville,ciudad,镇,शहर
Criterion,Critère,Criterio,标准,मापदंड
units,unités,unidades,单位,इकाइयां
trees,arbres,árboles,树木,पेड़
mines,mines,minas,地雷,खानों
Rank,Rang,Rango,秩,रैंक
pit,fosse,fosa,坑,गड्ढा
Ngo,ONG,ONG,非政府组织,नोक
Handling,Manutention,Manejo,处理,हैंडलिंग
Leave,Partir,Dejar,离开,छुट्टी
1515,1515,1515,1515年,1515
virus,virus,virus,病毒,वायरस
gut,intestin,intestino,肠,आंत
transfer,transfert,transferir,转移,स्थानांतरण
snap,instantané,quebrar,折断,स्नैप
submit,soumettre,entregar,提交,जमा करना
I'd,Identifiant,Identificación,ID,पहचान
blast,explosion,explosión,爆炸,धमाका
reject,rejeter,rechazar,拒绝,अस्वीकार करना
Fragment,Fragment,Fragmento,分段,टुकड़ा
hours,heures,horas,小时,घंटे
Currently,Actuellement,Actualmente,现在,वर्तमान में
Anne,Anne,Ana,安妮,ऐनी
split,diviser,dividir,分裂,विभाजित करना
back,dos,atrás,后退,पीछे
There,Là,Allá,那里,वहाँ
1963,1963,1963,1963年,1963
shake,secouer,agitar,摇,हिलाना
repeat,répéter,repetir,重复,दोहराना
1884,1884,1884,1884年,1884
Moving,Mobile,Emocionante,移动,आगे बढ़ने वाला
Prime,Prime,Principal,主要的,मुख्य
region,région,región,地区,क्षेत्र
logic,logique,lógica,逻辑,तर्क -संबंधी
Joan,Joan,Joan,琼,जोन
existence,existence,existencia,存在,अस्तित्व
North,Nord,Norte,北,उत्तर
forms,formes,formularios,表格,फार्म
Enrique,Enrique,Enrique,恩里克,एनरिक
remove,retirer,eliminar,消除,निकालना
koan,koan,koan,Koan,कोआन
Version,Version,Versión,版本,संस्करण
touch,touche,tocar,触碰,छूना
can,peut,poder,能,कर सकना
continue,continuer,continuar,继续,जारी रखना
Look,Regarder,Mirar,看,देखना
arms,bras,brazos,武器,हथियारों
150,150,150,150,150
Shop,Boutique,Comercio,店铺,दुकान
Serial,En série,De serie,系列,धारावाहिक
games,jeux,juego,游戏,खेल
950,950,950,950,950
send,envoyer,enviar,发送,भेजना
share,partager,compartir,分享,शेयर करना
assuming,supposant,arrogante,假设,मान लिया जाये
Sources,Sources,Fuentes,来源,सूत्रों का कहना है
setting,paramètre,configuración,环境,सेटिंग
Kel,Kel,Kel,凯尔,केल
And,Et,Y,和,और
C'est,C'est,Cien,c'est,C'est
Festival,Festival,Festival,节日,त्योहार
Dana,Dana,Dana,达娜,दाना
contents,contenu,contenido,内容,अंतर्वस्तु
wait,attendez,esperar,等待,इंतज़ार
Des,Des,Desesperación,des,डेस
restore,restaurer,restaurar,恢复,पुनर्स्थापित करना
